xVals,yVals,yErrs,modVals
3.299999982118606567e-01,1.760374323871616866e+02,3.664765521943214921e+00,1.704896106040856409e+02
3.699999898672103882e-01,2.348412970187229121e+02,3.755108315731651381e+00,2.250816390541731096e+02
4.099999964237213135e-01,2.842117752824270269e+02,4.546419257791658453e+00,2.765010088569656546e+02
4.500000029802322388e-01,3.320466636447673068e+02,5.320461270661173359e+00,3.253693855070991390e+02
4.899999946355819702e-01,3.784712004515113222e+02,6.079829161000345650e+00,3.712409856995357700e+02
5.300000011920928955e-01,3.959904386974626505e+02,6.407349467883834748e+00,4.055039536654758763e+02
5.699999928474426270e-01,3.932024423002848152e+02,6.428560585218573209e+00,4.272342199117467203e+02
6.099999845027923584e-01,4.240351693117448804e+02,6.974084603289943729e+00,4.623995816413425359e+02
6.500000059604644775e-01,4.669763163832724331e+02,7.699189463571151748e+00,4.917727930911425460e+02
6.899999976158142090e-01,4.870383187467595008e+02,8.083170176514618888e+00,5.159670469811035218e+02
7.299999892711639404e-01,5.235368678433126206e+02,8.715982295962101389e+00,5.334467612823793843e+02
7.700000107288360596e-01,5.390911526855162492e+02,9.043371661046750276e+00,5.526013594898458905e+02
8.100000023841857910e-01,5.653125314044244760e+02,9.534056289809941021e+00,5.675052114557103096e+02
8.499999940395355225e-01,5.719456800766473634e+02,9.733717090879567380e+00,5.787701131695511094e+02
8.900000154972076416e-01,5.826627955640179835e+02,9.995356761937305379e+00,5.850045575957724395e+02
9.300000071525573730e-01,5.863267843172502580e+02,1.015818073634919649e+01,5.917646959826099646e+02
9.699999988079071045e-01,5.902700015234452167e+02,1.032780061166848284e+01,5.963239269528370414e+02
1.009999990463256836e+00,6.070832864904281223e+02,1.069627647598242959e+01,5.988955233484704195e+02
1.050000011920928955e+00,6.048799396101563843e+02,1.077920626745246580e+01,5.996898274271870832e+02
1.090000033378601074e+00,6.118100489202083736e+02,1.100445725282905585e+01,5.989040203526564028e+02
1.129999995231628418e+00,6.006852297835325771e+02,1.095750332114297265e+01,5.967603976842575548e+02
1.170000016689300537e+00,6.115774259977375777e+02,1.125022467786837765e+01,5.934105212388002428e+02
1.210000038146972656e+00,6.024527709199726360e+02,1.123936371678693646e+01,5.890001764152922306e+02
1.250000000000000000e+00,6.142609767298866927e+02,1.155289635437910256e+01,5.836676412013891877e+02
1.289999961853027344e+00,6.235435470497286587e+02,1.183132852251153366e+01,5.775376632262377825e+02
1.329999983310699463e+00,6.026230617602964230e+02,1.164432361656089654e+01,5.702168306080820912e+02
1.370000004768371582e+00,6.047873420162924276e+02,1.181795542588066894e+01,5.628228569090078963e+02
1.409999966621398926e+00,6.076096755010945571e+02,1.200377866689361639e+01,5.549677331235807287e+02
1.449999988079071045e+00,6.014122593350226680e+02,1.204971261798845106e+01,5.466963708775463147e+02
1.490000009536743164e+00,5.995091272907714028e+02,1.216437107628759229e+01,5.380811464483888358e+02
1.529999971389770508e+00,5.794401194457826705e+02,1.199803466241609051e+01,5.291865918004361902e+02
1.574999988079071045e+00,5.793030919014619258e+02,1.155417229817726010e+01,5.189150371760675853e+02
1.625000000000000000e+00,5.605574782110649039e+02,1.141207065806265852e+01,5.072550301378214499e+02
1.675000011920928955e+00,5.440190286324274211e+02,1.128601508971907919e+01,4.954334731937715901e+02
1.725000023841857910e+00,5.508650877215374067e+02,1.151084254461657252e+01,4.835125010730993722e+02
1.774999976158142090e+00,5.501726187311288641e+02,1.163420431508126285e+01,4.715550333070709144e+02
1.824999988079071045e+00,5.230461542529261578e+02,1.142750024443188828e+01,4.595898953618907967e+02
1.875000000000000000e+00,4.895126136365433354e+02,1.118878498918745912e+01,4.474677243660960357e+02
1.925000011920928955e+00,4.808964978677032605e+02,1.128119066323533737e+01,4.357120993495453263e+02
1.975000023841857910e+00,4.643523133887239851e+02,1.117811112213160563e+01,4.240873926266986587e+02
2.024999976158142090e+00,4.644046873188569862e+02,1.134598210062706691e+01,4.126204185679587795e+02
2.074999928474426270e+00,4.289581576845984046e+02,1.091056510341856089e+01,4.013332684265081980e+02
2.125000000000000000e+00,4.279936603668335238e+02,1.105909240683799055e+01,3.902439448703196376e+02
2.175000071525573730e+00,3.922268306874430550e+02,1.059960415748177098e+01,3.793669666759328720e+02
2.225000023841857910e+00,3.291275782898213720e+02,9.620025955198636680e+00,3.687137902409517096e+02
2.274999976158142090e+00,2.682006991774094331e+02,8.613592766724559979e+00,3.582931742077896047e+02
2.324999928474426270e+00,2.326815743016504712e+02,8.043287794867152840e+00,3.481116209931903427e+02
2.375000000000000000e+00,2.376113022367585756e+02,8.282719005133699852e+00,3.381736445166761769e+02
2.425000071525573730e+00,2.378851444174566723e+02,8.426864648245688372e+00,3.284821172575382775e+02
2.475000023841857910e+00,2.360731529744562920e+02,8.527809305838594867e+00,3.190102750711286035e+02
2.529999971389770508e+00,2.468345492808348070e+02,8.273460340180276873e+00,3.088947778865356213e+02
2.589999914169311523e+00,2.384606704155773400e+02,8.256078141925609515e+00,2.982197829512751355e+02
2.649999976158142090e+00,2.418702389954526097e+02,8.479323673230954483e+00,2.878967033532811683e+02
2.710000038146972656e+00,2.420617404257681358e+02,8.637290795814177358e+00,2.779208158761131244e+02
2.769999980926513672e+00,2.216936352479918071e+02,8.353300651742378236e+00,2.682862123807331614e+02
2.829999923706054688e+00,2.196126161323202837e+02,8.456829993262344303e+00,2.589855456855499938e+02
2.889999985694885254e+00,2.225159282224845185e+02,8.671446181914399531e+00,2.500117697866462265e+02
2.950000047683715820e+00,2.283865867557265972e+02,8.954781362562178160e+00,2.413570390765660250e+02
3.009999990463256836e+00,2.145340169442420688e+02,8.789321145391228995e+00,2.330123887811138559e+02
3.069999933242797852e+00,2.110354151608005964e+02,8.856194444795516318e+00,2.249689439357480012e+02
3.129999995231628418e+00,2.098067403419995856e+02,8.975552058824574075e+00,2.172176480556918818e+02
3.190000057220458984e+00,2.038232557559870770e+02,8.978098302154041477e+00,2.097473968625882890e+02
3.250000000000000000e+00,2.045578468739511209e+02,9.143643418645938326e+00,2.025484122745403113e+02
3.309999942779541016e+00,2.154544167208431702e+02,9.563362887862627559e+00,1.956191955351194451e+02
3.370000004768371582e+00,2.041315036254033544e+02,9.428570856186746951e+00,1.889456023935266273e+02
3.435000061988830566e+00,1.976282903597694940e+02,8.792540084967189529e+00,1.820041796520419553e+02
3.504999995231628418e+00,1.847219289599278511e+02,8.621043866963995939e+00,1.748283149089881476e+02
3.574999928474426270e+00,1.815650538091491910e+02,8.690720313801463703e+00,1.679617467302716989e+02
3.644999980926513672e+00,1.714978010787594087e+02,8.570991490402096957e+00,1.613912314932747449e+02
3.715000033378601074e+00,1.711816787244916043e+02,8.710214658178115243e+00,1.551039510274353574e+02
3.784999966621398926e+00,1.666938410783582185e+02,8.731785047727374405e+00,1.490875107085572608e+02
3.855000019073486328e+00,1.671798980034777173e+02,8.892283949978704527e+00,1.433299221473075704e+02
3.925000071525573730e+00,1.556395007774403894e+02,8.698494848927216694e+00,1.378196716955164902e+02
